frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
103,6.0,[473.1069213327616 712.3348886768466 836.3506129974305 993.9023610792782],[605.7457275390625 892.7831420898438 704.2952880859375 928.66650390625],0.42660921812057495,GX15OCJ,0.2875109333208799
104,1.0,[1027.6614536316179 553.6759645211101 1279.9242962377643 774.7635397229855],[1113.9217529296875 687.205810546875 1213.2220458984375 731.7306518554688],0.4082038104534149,AP05JEO,0.2813043772714223
106,6.0,[472.37232707060514 721.5198628726052 836.2083056609794 1004.7450746544143],[591.8001708984375 895.9520874023438 692.2066040039062 942.4586791992188],0.5851067900657654,GX15OGJ,0.19364303101160477
107,6.0,[469.9055553760977 725.1485231253914 835.1047083713702 1009.0216907871029],[596.176025390625 904.3184204101562 695.118896484375 946.9552612304688],0.5523599982261658,GX15OCJ,0.2695953063484151
108,6.0,[467.40829821032264 729.8116548954906 833.9892255488138 1015.2905566750985],[597.0070190429688 908.96484375 696.9307861328125 951.3599853515625],0.5715833902359009,GY15OCJ,0.2947299447584152
109,6.0,[465.45628328197154 731.7317495579703 832.9619583170859 1019.1476217063671],[584.9232177734375 910.7120361328125 697.4331665039062 956.02734375],0.599528431892395,GX15OCJ,0.4025340571220555
110,1.0,[1027.9478974608796 563.5536510455431 1282.3508043226157 786.9602877149177],[1110.304443359375 700.0448608398438 1212.3106689453125 742.9078369140625],0.4284195005893707,AP05JED,0.1985009018750721
115,6.0,[451.9689213150163 752.0689061405044 827.7461623270615 1047.7094893302958],[579.0148315429688 936.1146240234375 690.2135009765625 981.2838134765625],0.5528172850608826,GX15OGJ,0.3298680680471429
115,1.0,[1027.1352073300413 570.0803699059287 1288.4393033502802 796.2336741866576],[1112.15625 712.4916381835938 1213.728515625 756.2267456054688],0.39615127444267273,AF05JEQ,0.1561832102393761
116,6.0,[450.05855424090646 755.9632446003845 827.9139999201591 1051.5732604266784],[578.9990844726562 941.9968872070312 690.3872680664062 987.38232421875],0.6334720849990845,GX15OGJ,0.5471651446853865
117,6.0,[447.94513683076326 759.3081668024099 826.5603750063945 1054.737073700961],[574.6329345703125 943.6636962890625 691.6173706054688 992.50927734375],0.581702470779419,GX15OCJ,0.24284098990269867
120,6.0,[441.1022528848818 768.1034485440596 825.0638893442924 1061.1345692474054],[571.905029296875 958.262939453125 686.067626953125 1005.1685180664062],0.6313928961753845,GY15OCJ,0.24159674026513495
121,6.0,[437.29568285578557 771.6751245306559 823.9874316524811 1065.8727035590252],[572.5320434570312 960.5654296875 687.3629150390625 1006.8109130859375],0.6105519533157349,GY15OCJ,0.3156378635557835
121,1.0,[1025.4297275012752 581.4088048240599 1293.4211488542217 812.6837501484606],[1112.2796630859375 721.1101684570312 1208.665283203125 767.3073120117188],0.39253339171409607,AF05JEQ,0.09091883772460271
122,6.0,[435.207896571847 775.2211930801556 823.4769097328285 1070.1285427177977],[569.7119750976562 965.8053588867188 683.4058227539062 1010.8244018554688],0.5919443368911743,GY15OCJ,0.18022934996292078
122,1.0,[1025.228695258962 583.4989625071802 1294.715701114957 815.9025690683128],[1106.619873046875 724.3281860351562 1215.2581787109375 768.3072509765625],0.43960335850715637,AP05JEO,0.20241932413968874
123,1.0,[1022.4979445767253 586.1790887461677 1294.5112865294032 818.5770498924494],[1119.3270263671875 733.0487060546875 1218.69140625 778.0737915039062],0.36829081177711487,AF05JEQ,0.23696777154472656
124,6.0,[432.0874355939761 781.5845133650347 822.6036843572822 1075.5873545511588],[568.2030029296875 973.1782836914062 670.4017944335938 1020.1543579101562],0.5172569155693054,GY15OGJ,0.25590474681884096
124,1.0,[1020.566804851766 587.6816056832448 1294.772399838962 820.5474913835989],[1114.3529052734375 731.8023071289062 1215.7666015625 775.1525268554688],0.3472251296043396,AF05JEQ,0.21193670438201542
125,6.0,[431.18449939968053 785.137436013468 822.9421543846468 1077.188919388199],[569.1170654296875 980.0512084960938 674.6151123046875 1026.5123291015625],0.62872314453125,GY15OGJ,0.2951854742470044
126,6.0,[428.4747242181753 790.5014660437033 822.3912065440785 1078.7123507791673],[563.3853149414062 986.1954345703125 669.9607543945312 1034.7110595703125],0.6560161709785461,GY15OGJ,0.24471846694388039
127,6.0,[426.17494161777074 793.8836115215623 821.6532241967983 1078.6196603164099],[561.544921875 990.110595703125 670.4744873046875 1036.1412353515625],0.617752730846405,GY15OGJ,0.4491448903446115
127,1.0,[1024.0124261799642 594.3999342984908 1298.6191648646527 827.9596821449471],[1111.7801513671875 735.5537109375 1222.87353515625 778.8966064453125],0.4916526973247528,AP05JEO,0.6285652606603059
128,6.0,[423.50854157314717 797.8336578993551 820.5990999162398 1078.6216635126436],[554.012939453125 991.201171875 666.5667724609375 1039.742431640625],0.6121646165847778,GX15OGJ,0.522674576789145
129,6.0,[420.275435324371 800.5701220988681 819.3361820132216 1077.6378294975514],[557.138671875 998.3886108398438 670.144287109375 1044.5391845703125],0.6080707907676697,GX15OGJ,0.4226966758645807
130,6.0,[418.0195190380561 803.1528217625618 819.4418359034373 1076.9066022649408],[559.2195434570312 1006.0506591796875 660.413330078125 1049.421142578125],0.6574865579605103,GY15OGJ,0.603543649943684
130,31.0,[1121.658600613036 811.5830646916045 1489.3513592372133 1076.4576161366383],[1256.2650146484375 992.5156860351562 1364.304931640625 1042.9520263671875],0.5038231015205383,LM14VCV,0.2835758117749165
131,6.0,[415.28925427408893 806.5551726763691 818.2471707519319 1077.1840550407392],[551.9373779296875 1010.2401123046875 665.250732421875 1057.2239990234375],0.6698989272117615,GX15OCJ,0.4505992416966239
132,31.0,[1121.816273732012 818.6869864810866 1491.788879867395 1076.078637592695],[1254.56298828125 1006.2841186523438 1367.8203125 1054.452880859375],0.6810299158096313,LH13VCY,0.18877423554859452
132,6.0,[416.31094932266353 811.7114855991141 818.4002413530585 1078.4796444312915],[547.3809814453125 1013.241943359375 667.4243774414062 1062.9320068359375],0.6760785579681396,GX15GGJ,0.4292826998689345
132,1.0,[1023.5793957804274 603.0852699559449 1301.052195872958 840.586684169799],[1113.71044921875 745.8378295898438 1224.318603515625 790.8641967773438],0.4419521987438202,AP05JED,0.24629674338317314
133,6.0,[414.894994908734 814.7246892823798 815.4440686045458 1079.3415077761745],[543.4563598632812 1014.79931640625 662.1867065429688 1061.0374755859375],0.6572240591049194,GX15OGJ,0.47879572284135824
133,31.0,[1121.7544929668195 821.8169970853509 1492.3256489072357 1076.5468868916519],[1257.503173828125 1004.6771850585938 1371.2977294921875 1057.317626953125],0.6533361673355103,LM13VCY,0.19079394391504445
133,1.0,[1023.6157205786495 604.7920019353058 1302.5762505632974 842.2614993825151],[1138.8111572265625 749.70068359375 1231.4962158203125 791.6419067382812],0.3593585789203644,AP05JED,0.725804905758681
